"ID";"DATA";"ANO";"NUM_CONSELHOS_POR_ANO";"TEMA";"TIPO_DE_DISPOSITIVO_LEGAL";"REFERENTE_OU_EMITIDA_PELO_CONSELHO";"AUTOR";"SIGLA_CONSELHO";"ANO_DE_CRIAÇÃO_DO_AUTOR";"TEMPO_DE_EXISTENCIA_AUTOR";"REFERENTE_A_AO";"ANO_CRIACAO_REFERENTE";"TEMPO_DE_EXISTENCIA_REFERENTE";"CONSELHO_OU_NAO_CONSELHO";"TEMA_RESUMIDO";"CONFERENCIA";"TERRITORIO_AO_QUAL_SE_REFERE";"CLASSIFICACAO";"OBSERVACOES";"SUBTIPOLOGIA";"X1"
"1";"2005-01-07";"2005";"19";"COMUNICADO 04/04- CMI
O Conselho Municipal do Idoso de Guarulhos no uso de suas atribuições legais, torna público à população em geral conforme deliberação em reunião ordinária deste Conselho em 01/12/04 , o calendário das reuniões ordinárias para o ano de 2005, conforme segue:
";"COMUNICADO";"EMITIDA";"CONSELHO MUNICIPAL DO IDOSO - CMI / CONSELHO MUNICIPAL DOS DIREITOS DA PESSOA IDOSA";"CMI";"2001";"4";"CONSELHO MUNICIPAL DO IDOSO - CMI / CONSELHO MUNICIPAL DOS DIREITOS DA PESSOA IDOSA";"2001";"4";"CONSELHO";"Calendário das Reuniões Ordinárias de 2005";"NÃO";"-";"5";;"5A";
"2";"2005-01-11";"2005";"19";"COMUNICADO 01/05 – CMDCA
O CMDCA -Conselho Municipal dos Direitos da Criança e do Adolescente de Guarulhos no uso de suas atribuições legais, torna público a lista de Candidatos ao pleito Eleitoral dos Conselhos Tutelares de Guarulhos, Triênio 2005/2008, de acordo com o artigo 7º da resolução 238/04 – CMDCA. (...)
";"COMUNICADO";"EMITIDA";"CONSELHO MUNICIPAL DOS DIREITOS DA CRIANÇA E DO ADOLESCENTE - CMDCA";"CMDCA";"1991";"14";"CONSELHOS TUTELARES";;;"CONSELHO";"Lista dos candidatos ao pleito eleitoral de Conselhos Tutelares";"Não";"-";"6";;"6C";
"3";"2005-01-14";"2005";"19";"RESOLUÇÃO Nº 144-CMAS RESOLVE:
Art. 1º - Aprovar por unanimidade, o Relatório de Gestão SAS 2004, em todos os seus aspectos não defeso em lei, devendo produzir seus jurídicos efeitos.
Art. 2º - A presente Resolução entra em vigor na data de sua publicação, revogadas as disposições em contrário. A integra do anexo I da Presente resolução está disponível no link Assistência Social da pagina da Prefeitura Municipal de Guarulhos – www.guarulhos.sp.gov.br.
";"RESOLUÇÃO";"EMITIDA";"CONSELHO MUNICIPAL DE ASSISTÊNCIA SOCIAL - CMAS";"CMAS";"1997";"8";"CONSELHO MUNICIPAL DE ASSISTÊNCIA SOCIAL - CMAS";"1997";"8";"CONSELHO";"Aprovar o Relatório da Gestão SAS 2004";"NÃO";"-";"2";;"2E";
"4";"2005-01-14";"2005";"19";"COMUNICADO 01/05 – COMISSÃO ELEITORAL - CMDCA
A Comissão Eleitoral Instituída pelo art. 2º da Resolução 238/04 do CMDCA amparada pelo art.7º da Lei Municipal 4665/94 CONVOCA as Candidatas: Wanilda Rosa, Cássia Aparecida de Medeiros Grotkowisky, Maria de Fátima Caldas dos Santos, Maria Inês de Carvalho Almeida e Maria da Penha Gomes de Souza para comparecerem no prazo de três dias corridos a contar da data de publicação deste comunicado na sede do CMDCA para tratar de assunto de seu interesse. 
";"COMUNICADO";"EMITIDA";"CONSELHO MUNICIPAL DOS DIREITOS DA CRIANÇA E DO ADOLESCENTE - CMDCA";"CMDCA";"1991";"14";"CONSELHO MUNICIPAL DOS DIREITOS DA CRIANÇA E DO ADOLESCENTE - CMDCA";"1991";"14";"CONSELHO";"Convocação de candidatas à direção do CMDCA";"NÃO";"-";"9";;;
"5";"2005-01-14";"2005";"19";"COMUNICADO 02/05 – CMDCA
O Conselho Municipal dos Direitos da Criança e do Adolescente de Guarulhos no uso de suas atribuições legais, torna público à população em geral e conforme deliberação deste Conselho, o calendário das reuniões ordinárias para este ano de 2005, conforme segue:
(...)";"COMUNICADO";"EMITIDA";"CONSELHO MUNICIPAL DOS DIREITOS DA CRIANÇA E DO ADOLESCENTE - CMDCA";"CMDCA";"1991";"14";"CONSELHO MUNICIPAL DOS DIREITOS DA CRIANÇA E DO ADOLESCENTE - CMDCA";"1991";"14";"CONSELHO";"Calendário das Reuniões Ordinárias de 2005";"NÃO";"-";"5";;"5A";
"6";"2005-01-14";"2005";"19";"COMUNICADO 03/05 – CMDCA
O Conselho Municipal dos Direitos da Criança e do Adolescente de Guarulhos no uso de suas atribuições legais, torna público a retificação do Comunicado 01/05 – CMDCA , que trata da lista de Candidatos ao pleito Eleitoral dos Conselhos Tutelares Triênio 2005/2008; publicado no Diário Oficial da PMG; em 11/01/2005. (...)
";"COMUNICADO";"EMITIDA";"CONSELHO MUNICIPAL DOS DIREITOS DA CRIANÇA E DO ADOLESCENTE - CMDCA";"CMDCA";"1991";"14";"CONSELHOS TUTELARES";;;"CONSELHO";"(Retificação) Lista dos Candidatos aoPleito Eleitoral dos Conselhos  Tutelares";"Não";"-";;;;
"7";"2005-01-18";"2005";"19";"COMUNICADO 01/2005 – CMAS
O CMAS – Conselho municipal de Assistência Social de Guarulhos, no uso de suas atribuições legais, torna-se público os membros das Comissões Internas em consonância à Resolução de nº 013/2001-CMAS de 13.02.2001, publicada no Boletim Oficial – PMG n.º 014/2001 de 16/02/2001 e Resolução nº 96-CMAS de 02/04/2003 publicada no Boletim Oficial – PMG nº 034/2003-GP de 17/04/2003, conforme segue: (...)
";"COMUNICADO";"EMITIDA";"CONSELHO MUNICIPAL DE ASSISTÊNCIA SOCIAL - CMAS";"CMAS";"1997";"8";"CONSELHO MUNICIPAL DE ASSISTÊNCIA SOCIAL - CMAS";"1997";"8";"CONSELHO";"Torna público os membros das Comussões Internas";"NÃO";"-";"5";;"5B";
"8";"2005-01-18";"2005";"19";"COMUNICADO N°. 02/2005-CMAS
O Conselho Municipal de Assistência Social - CMAS, no uso de suas atribuições legais torna público o calendário das reuniões ordinárias deste Conselho a se realizarem no ano 2005, como segue:
";"COMUNICADO";"EMITIDA";"CONSELHO MUNICIPAL DE ASSISTÊNCIA SOCIAL - CMAS";"CMAS";"1997";"8";"CONSELHO MUNICIPAL DE ASSISTÊNCIA SOCIAL - CMAS";"1997";"8";"CONSELHO";"Calendário das Reuniões Ordinárias de 2005";"NÃO";"-";"5";;"5A";
"9";"2005-01-18";"2005";"19";;"RESOLUÇÃO";"EMITIDA";"CONSELHO MUNICIPAL DOS DIREITOS DA CRIANÇA E DO ADOLESCENTE - CMDCA";"CMDCA";"1991";"14";"CONSELHO MUNICIPAL DOS DIREITOS DA CRIANÇA E DO ADOLESCENTE - CMDCA";"1991";"14";"CONSELHO";"Informa a mudança de Razão Social de uma de suas instituições afiliadas";"NÃO";"-";"3";;"3A";
"10";"2005-01-21";"2005";"19";;"PORTARIA";;"SECRETARIA DE ASSISTÊNCIA SOCIAL";;;;"NÃO ESPECIFICA";;;"NÃO CONSELHO";"Implementar programa de capacitação, busca articulação com Conselhos Municipais";"Não";"-";;;;
